con1	con1	trt1	trt2
UAP1	135.08	232.52	523.28	591.72
ACTL8	0.78	0.11	0	0.08
PLA2G2D	0	0.07	0.04	0
GBP1	2.83	4.13	0.69	0.66
CDK18	1.6	4.02	1.34	1.48
ECE1	24.56	22.45	38.91	38.65
GALE	66.31	73.8	75.02	70.84
CD46	72.1	90.96	102.93	108.84
PRPF3	37.39	43.07	40.88	47.33
SLC2A1	185.65	221.97	326.42	398.97
B4GALT2	73.98	71.64	41.61	41.41
ERI3	53.62	49.87	44.9	41.39
AKR1A1	99.23	109.4	91.76	100.26
PRDX1	710.82	690.02	1334.8	1223.07
PIK3R3	6.03	7.86	15.08	13.28
SLC19A2	8.22	6.6	5.77	7.15
NSUN4	8.65	8.55	9.25	10.4
CNN3	429.13	477.43	622.1	599.69
PRRC2C	118.49	96.45	87.29	92.01
VAMP4	13.54	15.27	9.17	9.22
DPH5	22.84	33.02	20.27	19.24
FASLG	0	0	0	0
PTBP2	10.53	7.82	4.49	4.34
TNFSF4	0.07	0.19	0.41	0.61
HSD11B1	0.34	0.09	0	0
UTP25	7.65	8.3	6.26	6.34
SYF2	38.95	28.25	34.91	35.59
RSRP1	15.92	35.17	60.38	61.9
RCOR3	16.23	16.65	14.52	13.43
STMN1	526	273.37	271.59	258.29
MAN1C1	0.05	0	0.09	0.13
RPS6KA1	11.51	9.54	17	15.38
ARID1A	28.97	24.93	23.28	21.33
CENPF	59.71	31.24	9.61	11.83
PPP1R8	59.53	44.53	38.47	31.3
STX12	20.98	23.2	38.67	36.96
OSBPL9	68.74	73.52	73.33	76.62
KIF14	12.73	7.46	1.92	1.81
SGIP1	0	0	0.01	0.02
CASQ2	0	0	0	0
RAB3GAP2	13.58	14.51	15.59	15.61
C1orf198	19.87	29.72	23.47	23.26
TRIM67	0.04	0.33	0.33	0.52
MRPS14	15.83	20.25	25.88	24.36
SEC16B	4.05	6.42	2.95	3.62
GORAB	10.24	15.06	16.49	15.25
TAF12	24.65	32.64	46.69	47.7
UBIAD1	18.11	15.06	8.66	8.82
TARDBP	166.93	196.94	214.31	214.07
TNFRSF8	1.9	1.59	0.04	0.16
ECHDC2	7.23	17.09	6.06	6.53
LHX4	0.23	0.51	0.36	0.25
GJA8	0	0	0	0
ZCCHC17	35.78	36.16	43.64	39.65
KHDRBS1	208.53	151.6	136.75	130.27
TMEM39B	16.1	16.18	13.86	14.93
TMEM54	62.11	72.62	36.83	34.6
ZSCAN20	2.09	2.24	2.47	1.97
LRIF1	7.09	9.37	10.26	10.69
TMIGD3	0.12	0	0	0
GPSM2	31.14	19.3	14.58	15.28
RPL5	1636.37	1434.74	1429.26	1471.99
PTGFR	7.52	9.61	4.17	3.43
SPATA1	0.4	0.04	0	0.1
RWDD3	11.66	12.41	11.36	10.71
ZNF644	18.91	18.19	18.84	16.96
CDKN2C	38.58	26.33	23.11	21.35
RNF11	69.75	70.68	114.56	106.67
ATPAF1	21.39	24.12	28.53	22.23
BATF3	5.24	1.4	1.11	0.42
MIR9-1HG	0	0.31	0	0
ATG4C	11.51	9.74	8.41	8.43
HNRNPR	203.92	156.87	124.18	111.16
PSMB2	131.66	114.14	90.41	88.26
ST3GAL3	12.68	14.89	13.01	14.3
TMEM53	3.08	2.59	3.81	3.96
DNAJC8	121.77	108.48	108.66	105.61
AHDC1	8.53	10.78	12.12	9.89
IFI6	8.83	15.18	17.14	15.43
HIVEP3	11.9	6.06	5.9	5.93
EDN2	0	0.63	0	0.06
PLA2G5	0	0	0	0
UBR4	33.55	37.04	48.99	49.12
MACF1	36.52	43.08	67.05	64.37
CEP85	17.05	15.47	18.52	16.92
SESN2	20.83	29.27	22.1	20.58
ATP5IF1	131.06	123.27	96.6	99.45
MED18	11.05	12.81	10.83	8.46
THEMIS2	2.74	3.04	5.36	5.39
UBE4B	20.22	26.43	26.04	24.05
CAP1	312.53	343.35	339.66	309.1
PPT1	145.76	129.35	93.9	96.37
FMO5	0.66	1.2	0.46	0.66
PIAS3	29.54	31.48	46.95	48.76
SPATA6	0.31	0.27	0.28	0.68
ZRANB2	72.04	82.69	85.11	89.12
